source,category,title,link,summary,published,collected_at
PYMNTS,fintech_news,Upwork Says AI Projects Drive Growth in Otherwise Sluggish Labor Market,https://www.pymnts.com/gig-economy/2025/upwork-says-ai-projects-drive-growth-in-otherwise-sluggish-labor-market/,"<p>The labor market remained sluggish in the third quarter, but demand for freelance talent in areas related to artificial intelligence (AI) helped drive 2% year-over-year growth in gross services volume (GSV) at work marketplace Upwork.  “In terms of the macro, I’d say things have been relatively stable in the course of Q3, with no [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/gig-economy/2025/upwork-says-ai-projects-drive-growth-in-otherwise-sluggish-labor-market/"">Upwork Says AI Projects Drive Growth in Otherwise Sluggish Labor Market</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T02:53:44+00:00,2025-11-04T02:59:05.991314+00:00
PYMNTS,fintech_news,Simon Says Holidays Will Be Tariff Testing Ground for Luxury Retail,https://www.pymnts.com/news/retail/2025/simon-says-holidays-will-be-tariff-testing-ground-for-luxury-retail/,"<p>It’s a challenging operating and macro environment for retailers. And perhaps no one knows that better than the real estate firm Simon, which owns and invests primarily in shopping, dining, entertainment and mixed-use destinations.  “There is inability for retailers to eat the tariffs entirely, so they’re going to have to pass it along or [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/news/retail/2025/simon-says-holidays-will-be-tariff-testing-ground-for-luxury-retail/"">Simon Says Holidays Will Be Tariff Testing Ground for Luxury Retail</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T01:52:46+00:00,2025-11-04T02:59:05.991422+00:00
PYMNTS,fintech_news,"Google Expands Chrome Browser’s Autofill to Include Passport, Driver’s License",https://www.pymnts.com/google/2025/google-expands-chrome-browsers-autofill-to-include-passport-drivers-license/,"<p>Google’s Chrome browser can now fill in a user’s passport, driver’s license, vehicle license plate and vehicle identification number (VIN).  This capability expands upon the addresses, passwords and payment information the browser can already fill in, the company said in a Monday (Nov. 3) blog post. It is available to desktop users who enable [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/google/2025/google-expands-chrome-browsers-autofill-to-include-passport-drivers-license/"">Google Expands Chrome Browser’s Autofill to Include Passport, Driver’s License</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T00:46:31+00:00,2025-11-04T02:59:05.991545+00:00
PYMNTS,fintech_news,ThredUp Is ‘Cautious’ on State of the Consumer,https://www.pymnts.com/news/ecommerce/2025/thredup-is-cautious-on-state-of-the-consumer/,"<p>The resale platform ThredUp reported its strongest year-over-year growth in nearly four years, buoyed by record new customer acquisition and higher engagement from existing buyers.  But consumers are cautious moving into the holidays, according to commentary on the conference call after the market closed on Monday (Nov. 3). Company materials indicated that revenue rose [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/news/ecommerce/2025/thredup-is-cautious-on-state-of-the-consumer/"">ThredUp Is &#8216;Cautious&#8217; on State of the Consumer</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-04T00:37:51+00:00,2025-11-04T02:59:05.991638+00:00
PYMNTS,fintech_news,Sam Altman Says OpenAI Revenue Is Over $13 Billion and Growing Steeply,https://www.pymnts.com/artificial-intelligence-2/2025/sam-altman-says-openai-revenue-is-over-13-billion-and-growing-steeply/,"<p>OpenAI is doing “well more” than $13 billion in revenue, CEO Sam Altman said on a BG2Pod podcast over the weekend.  That figure has been widely reported, and some observers have wondered how OpenAI could pay for its recent compute deals with $13 billion in revenue, according to Seeking Alpha, which flagged Altman’s remarks [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/artificial-intelligence-2/2025/sam-altman-says-openai-revenue-is-over-13-billion-and-growing-steeply/"">Sam Altman Says OpenAI Revenue Is Over $13 Billion and Growing Steeply</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T23:39:05+00:00,2025-11-04T02:59:05.991724+00:00
PYMNTS,fintech_news,Robinhood Gold Subscribers Gain Access to Discounted Mortgage Rates from Sage,https://www.pymnts.com/partnerships/2025/robinhood-gold-subscribers-gain-access-to-discounted-mortgage-rates-from-sage/,"<p>Robinhood said Monday (Nov. 3) that eligible Robinhood Gold subscribers can now access exclusive discounted mortgage rates and closing credits through digital mortgage lender Sage Home Loans.  This offering is enabled by Robinhood’s exclusive agreement with Sage, and it became available Monday, the companies said in a press release. Robinhood fully rolled out the [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/partnerships/2025/robinhood-gold-subscribers-gain-access-to-discounted-mortgage-rates-from-sage/"">Robinhood Gold Subscribers Gain Access to Discounted Mortgage Rates from Sage</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T23:31:24+00:00,2025-11-04T02:59:05.991806+00:00
PYMNTS,fintech_news,Zerohash Gains Permission for Embedded Crypto and Stablecoin Services Under Europe’s MiCAR,https://www.pymnts.com/cryptocurrency/2025/zerohash-gains-permission-embedded-crypto-stablecoin-services-under-europe-micar/,"<p>Cryptocurrency and stablecoin infrastructure startup zerohash received permission to offer regulated crypto-asset and stablecoin infrastructure services across the European Economic Area.  The company said in a Monday (Nov. 3) press release that zerohash europe gained this permission in the form of authorization under the European Union’s Markets in Crypto-Assets Regulation (MiCAR) framework from the [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/cryptocurrency/2025/zerohash-gains-permission-embedded-crypto-stablecoin-services-under-europe-micar/"">Zerohash Gains Permission for Embedded Crypto and Stablecoin Services Under Europe’s MiCAR</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T22:14:20+00:00,2025-11-04T02:59:05.991890+00:00
The Block (Crypto/Fintech),fintech_news,Strategy proposes euro STRE share offering to fund future bitcoin buys,https://www.theblock.co/post/377385/strategy-euro-stre-bitcoin?utm_source=rss&utm_medium=rss,<p>Strategy plans to offer 3.5 million shares of euro-denominated perpetual preferred stock STRE to fund bitcoin purchases.</p>,2025-11-03T21:52:05-05:00,2025-11-04T02:59:06.067889+00:00
The Block (Crypto/Fintech),fintech_news,Cathie Wood’s Ark Invest buys $12 million worth of Bullish shares,https://www.theblock.co/post/377387/ark-invest-buys-bullish-shares?utm_source=rss&utm_medium=rss,"<p>Bullish, a crypto exchange backed by Peter Thiel, launched spot trading in the US last month after obtaining a key New York license.</p>",2025-11-03T21:30:28-05:00,2025-11-04T02:59:06.067986+00:00
PYMNTS,fintech_news,Travel Industry Urges Congress to End Government Shutdown Before Thanksgiving Week,https://www.pymnts.com/economy/2025/travel-industry-urges-congress-to-end-government-shutdown-before-thanksgiving-week/,"<p>More than 500 travel organizations and companies signed a letter calling on Congressional leaders of both parties to pass a clean continuing resolution to reopen the federal government in time for services to be restored before Thanksgiving.  Sent on the letterhead of the U.S. Travel Association, dated Monday (Nov. 3) and shared with PYMNTS, [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/economy/2025/travel-industry-urges-congress-to-end-government-shutdown-before-thanksgiving-week/"">Travel Industry Urges Congress to End Government Shutdown Before Thanksgiving Week</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T21:25:01+00:00,2025-11-04T02:59:05.991974+00:00
PYMNTS,fintech_news,"Vibe Coding Won’t Replace Humans Anytime Soon, Data Shows",https://www.pymnts.com/artificial-intelligence-2/2025/vibe-coding-wont-replace-humans-anytime-soon-data-shows/,"<p>Autonomous coding agents can now generate, test and debug entire applications but they still falter without human oversight. A new academic work titled, “A Survey of Vibe Coding with Large Language Models” finds that even advanced models capable of building complete apps lose accuracy and efficiency when developers aren’t part of the process. The study [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/artificial-intelligence-2/2025/vibe-coding-wont-replace-humans-anytime-soon-data-shows/"">Vibe Coding Won’t Replace Humans Anytime Soon, Data Shows</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T20:02:51+00:00,2025-11-04T02:59:05.992055+00:00
PYMNTS,fintech_news,Experian to Launch Credit Score in UK That Includes Rental Payments,https://www.pymnts.com/consumer-finance/2025/experian-to-launch-credit-score-in-uk-that-includes-rental-payments/,"<p>Experian UK&#38;I is set to introduce a new credit score in the United Kingdom that will include rental payments and other financial behaviors in consumers’ daily lives.  The new Experian Credit Score will begin rolling out this month and will reach all U.K. consumers by the end of the year, the company said in [&#8230;]</p> <p>The post <a href=""https://www.pymnts.com/consumer-finance/2025/experian-to-launch-credit-score-in-uk-that-includes-rental-payments/"">Experian to Launch Credit Score in UK That Includes Rental Payments</a> appeared first on <a href=""https://www.pymnts.com"">PYMNTS.com</a>.</p>",2025-11-03T19:56:36+00:00,2025-11-04T02:59:05.992138+00:00
The Block (Crypto/Fintech),fintech_news,"Bitwise, Grayscale reveal fees for XRP and Dogecoin ETFs as firms push ahead to launch without SEC’s green light",https://www.theblock.co/post/377381/bitwise-grayscale-reveal-fees-for-xrp-and-dogecoin-etfs-as-firms-push-ahead-to-launch-without-secs-green-light?utm_source=rss&utm_medium=rss,<p>Bitwise and Grayscale have disclosed fees for their proposed exchange-traded funds tracking the price of XRP.</p>,2025-11-03T18:42:38-05:00,2025-11-04T02:59:06.068070+00:00
The Block (Crypto/Fintech),fintech_news,Wintermute’s Evgeny Gaevoy says the market maker isn’t suing Binance and ‘never had plans to’,https://www.theblock.co/post/377377/wintermutes-evgeny-gaevoy-says-the-market-maker-isnt-suing-binance-and-never-had-plans-to?utm_source=rss&utm_medium=rss,<p>Evgeny Gaevoy said Wintermute will not sue Binance over losses incurred during the largest crypto liquidation event on Oct. 10.</p>,2025-11-03T17:52:07-05:00,2025-11-04T02:59:06.068154+00:00
The Block (Crypto/Fintech),fintech_news,Ripple’s crypto investments hit $4 billion with acquisition of wallet tech firm Palisade,https://www.theblock.co/post/377368/ripples-crypto-investments-hit-4-billion-with-acquisition-of-wallet-tech-firm-palisade?utm_source=rss&utm_medium=rss,"<p>The company has now racked up multiple acquisitions this year, including buying prime broker Hidden Road for $1.25 billion.</p>",2025-11-03T17:28:27-05:00,2025-11-04T02:59:06.068237+00:00
The Block (Crypto/Fintech),fintech_news,"Ethereum treasury firm BitMine falls 8% after adding another 82,353 ETH",https://www.theblock.co/post/377367/ethereum-treasury-firm-bitmine-falls-8-after-adding-another-82353-eth?utm_source=rss&utm_medium=rss,"<p>The second-largest digital asset treasury now holds nearly 3.4 million ETH, worth $12 billion, and 192 BTC, valued at about $20 million.</p>",2025-11-03T16:52:13-05:00,2025-11-04T02:59:06.068331+00:00
The Block (Crypto/Fintech),fintech_news,FTSE Russell taps Chainlink to bring Russell 1000 and other index data onchain,https://www.theblock.co/post/377357/ftse-russell-taps-chainlink-bring-russell-1000-other-index-data-onchain?utm_source=rss&utm_medium=rss,"<p>The tie-up will bring data for major global indices like the Russell 1000, Russell 2000, Russell 3000, and other FTSE products onchain.</p>",2025-11-03T15:44:48-05:00,2025-11-04T02:59:06.068414+00:00
The Block (Crypto/Fintech),fintech_news,"Tharimmune raises $540 million from ARK Invest, DRW, Kraken and others to build Canton Coin treasury",https://www.theblock.co/post/377347/tharimmune-canton-coin-treasury-blockchain?utm_source=rss&utm_medium=rss,<p>The raise continues a trend of small-cap firms reinventing themselves as digital-asset treasuries to gain market exposure to crypto.</p>,2025-11-03T15:42:57-05:00,2025-11-04T02:59:06.068495+00:00
The Block (Crypto/Fintech),fintech_news,"The Daily: Balancer hit by $128 million exploit, Hong Kong opens global liquidity access for local crypto exchanges, and more",https://www.theblock.co/post/377349/the-daily-balancer-hit-by-128-million-exploit-hong-kong-opens-global-liquidity-access-for-local-crypto-exchanges-and-more?utm_source=rss&utm_medium=rss,"<p>The following article is adapted from The Block’s newsletter, The Daily, which comes out on weekday afternoons.</p>",2025-11-03T14:36:09-05:00,2025-11-04T02:59:06.068579+00:00
The Block (Crypto/Fintech),fintech_news,Paradigm leads $7.6 million seed funding round for perp DEX aggregator Liquid,https://www.theblock.co/post/377341/paradigm-leads-funding-perp-dex-aggregator-liquid?utm_source=rss&utm_medium=rss,"<p>Liquid, a crypto perp DEX aggregator, has raised $7.6 million in seed funding from investors including Paradigm and General Catalyst.</p>",2025-11-03T13:35:03-05:00,2025-11-04T02:59:06.068658+00:00
The Block (Crypto/Fintech),fintech_news,"Custodia ruling a ‘speed bump’ not a roadblock for crypto banks, says TD Cowen",https://www.theblock.co/post/377336/custodia-ruling-speed-bump-not-roadblock-crypto-banks-td-cowen?utm_source=rss&utm_medium=rss,"<p>A ruling last week declaring that Custodia is not entitled to a master account is not the end of the road, said a TD Cowen analyst. </p>",2025-11-03T13:05:55-05:00,2025-11-04T02:59:06.068736+00:00
The Block (Crypto/Fintech),fintech_news,Kraken unlocks crypto collateral for derivatives across the EU,https://www.theblock.co/post/377300/kraken-unlocks-crypto-collateral-for-derivatives-across-the-eu?utm_source=rss&utm_medium=rss,<p>Kraken will now allow traders to post crypto collateral in the European Union via its MiFID-regulated derivatives platform.</p>,2025-11-03T12:32:07-05:00,2025-11-04T02:59:06.068815+00:00
The Block (Crypto/Fintech),fintech_news,"35 key crypto hires, moves and exits: October 2025",https://www.theblock.co/post/377295/35-key-crypto-hires-moves-and-exits-october-2025?utm_source=rss&utm_medium=rss,"<p>A look at the most notable hires, moves and exits in the broader crypto ecosystem during the month of October.</p>",2025-11-03T12:20:16-05:00,2025-11-04T02:59:06.068895+00:00
The Block (Crypto/Fintech),fintech_news,HIVE Digital accelerates AI infrastructure push with $1.7 million Canada data-center land deal,https://www.theblock.co/post/377306/hive-digital-accelerates-ai-infrastructure-push-1-7-million-canada-data-center-deal?utm_source=rss&utm_medium=rss,<p>Bitcoin miners are repositioning themselves as infrastructure providers for hyperscalers amid soaring demand for AI compute power.</p>,2025-11-03T12:08:44-05:00,2025-11-04T02:59:06.068975+00:00
The Block (Crypto/Fintech),fintech_news,"President Trump talks crypto, corruption and Changpeng Zhao in ’60 Minutes’ interview",https://www.theblock.co/post/377296/trump-talks-crypto-corruption-changpeng-zhao-60-minutes-interview?utm_source=rss&utm_medium=rss,"<p>In an extended interview, President Donald Trump reiterated his pardon for Changpeng Zhao and making America ""number one"" for crypto.</p>",2025-11-03T11:47:06-05:00,2025-11-04T02:59:06.069053+00:00
The Block (Crypto/Fintech),fintech_news,Major crypto investor Animoca Brands poised for Nasdaq listing through merger with AI company,https://www.theblock.co/post/377291/major-crypto-investor-animoca-brands-poised-for-nasdaq-listing-through-merger-with-ai-company?utm_source=rss&utm_medium=rss,"<p>If the merger is completed, Animoca would own the vast majority of Currenc and assume its listing on the Nasdaq.</p>",2025-11-03T11:12:28-05:00,2025-11-04T02:59:06.069131+00:00
The Block (Crypto/Fintech),fintech_news,"Cipher Mining shares jump 33% on $5.5 billion AWS AI deal, new 1 GW Texas site",https://www.theblock.co/post/377285/cipher-mining-shares-jump-5-5-billion-usd-aws-ai-deal-1gw-texas-site?utm_source=rss&utm_medium=rss,"<p>Cipher reported a net loss of $3 million for Q3, but also revealed a joint entity to develop a new 1 GW site in West Texas named ""Colchis.""</p>",2025-11-03T10:26:54-05:00,2025-11-04T02:59:06.069209+00:00
The Block (Crypto/Fintech),fintech_news,Ripple launches digital asset prime brokerage for US markets following $1.25 billion Hidden Road deal,https://www.theblock.co/post/377281/ripple-launches-digital-asset-prime-brokerage-for-us-markets-following-1-25-billion-hidden-road-deal?utm_source=rss&utm_medium=rss,"<p>Ripple has unveiled a U.S. digital asset prime brokerage after its Hidden Road acquisition, offering OTC spot trading for XRP, RLUSD and other assets.</p>",2025-11-03T09:39:44-05:00,2025-11-04T02:59:06.069286+00:00
The Block (Crypto/Fintech),fintech_news,Powell’s hawkish tone leaves crypto investors in a ‘state of limbo’ amid $360M in weekly ETP outflows: CoinShares,https://www.theblock.co/post/377274/powell-hawkish-crypto-limbo?utm_source=rss&utm_medium=rss,"<p>Investors interpreted Fed Chair Powell's remarks on the likelihood of December rate cuts as hawkish, Head of Research James Butterfill said.</p>",2025-11-03T09:17:01-05:00,2025-11-04T02:59:06.069396+00:00
The Diff (Byrne Hobart),substack,"Money, Credit, Trust, and FTX",https://www.thediff.co/archive/money-credit-trust-ftx/,Plus! Alternatives; Where Inflation Hits; The Best Job In tech; Sitting it Out; LNG; Diff Jobs,2022-11-14T13:41:25+00:00,2025-11-04T02:59:01.966199+00:00
The Diff (Byrne Hobart),substack,Hand-Crafted Artisanal Liquidity Provision,https://www.thediff.co/archive/hand-crafted-artisanal-liquidity/,Plus! Consolidation; Shareholder Activism; Cash Burn; PE and Software Compete to Eat the World; Reinsurer of Last Resort; Diff Jobs,2022-08-22T12:05:04+00:00,2025-11-04T02:59:01.966328+00:00
The Diff (Byrne Hobart),substack,Understanding Jane Street,https://www.thediff.co/archive/jane-street/,Plus! Pensions; Customer-Facing; Use Cases; Making a Market; Reflexive Energy Politics; Diff Jobs,2022-08-01T12:39:05+00:00,2025-11-04T02:59:01.966437+00:00
The Diff (Byrne Hobart),substack,The Factorio Mindset,https://www.thediff.co/archive/the-factorio-mindset/,Plus! The Carbon Rally; The Bridge; Housing and Rates; Full Stack Media; Buying Out Contracts; Diff Jobs,2022-02-11T14:31:56+00:00,2025-11-04T02:59:01.966528+00:00
The Diff (Byrne Hobart),substack,Stripe and Solid-State Economics,https://www.thediff.co/archive/stripe/,Plus! Hulu's Regulatory Arbitrage; Post-Archegos; Patents; Emissions: a Global Problem,2021-05-07T13:56:33+00:00,2025-11-04T02:59:01.966616+00:00
